1260033,742.0,1
2672060,1924.0,2
4316449,3546.5,3
5989614,3874.5,4
7670508,4530.5,5
9339869,4453.0,6
10980865,4466.0,7
12587483,4405.0,8
14201944,4388.5,9
15803860,4537.0,10
17448645,4366.5,11
19123746,4528.5,12
20786723,3722.5,13
22505533,4468.0,14
24319895,4392.0,15
26076981,4357.0,16
27897349,4518.5,17
29682777,5152.0,18
31494412,5250.5,19
33332305,5098.0,20
35170926,5093.5,21
37056383,5134.0,22
38956779,5082.5,23
40816421,4574.5,24
42718321,4822.5,25
44611436,5316.5,26
46382828,5365.5,27
48177553,5249.5,28
50054542,5384.5,29
51877773,5259.0,30
53713948,4955.0,31
55550170,5226.5,32
57381198,4906.0,33
59274834,6244.0,34
61069698,6226.5,35
62856806,6168.5,36
64717662,6220.0,37
66534530,6225.5,38
68437106,6181.0,39
70341501,6216.0,40
72244287,5989.0,41
74129587,6177.0,42
75935462,6109.0,43
77813641,6538.0,44
79719043,6494.0,45
81674283,6550.0,46
83596845,6440.0,47
85511886,6812.5,48
87404189,6975.5,49
89320192,6769.0,50
91275482,6819.5,51
93201820,6898.5,52
95182691,6868.5,53
97164283,6903.5,54
99108540,6789.5,55
101058012,6789.5,56
103074432,6640.0,57
105069566,6880.0,58
107037050,7168.0,59
109066049,7240.5,60
111099579,6970.5,61
113087385,6795.5,62
115134265,7223.5,63
117181987,7237.0,64
119176721,7269.0,65
121110259,6916.5,66
123108952,7278.5,67
125148822,7119.0,68
